"sample_title"	"Station"	"region"	"lat"	"lon"	"depth"	"layer"	"date"	"PangaeaEvent"	"temp"	"sal"	"O2_conc"	"O2_sat"	"forward_read_file_name"	"reverse_read_file_name"	"seqname"	"miseq_id"	"forward_read_file_checksum"	"reverse_read_file_checksum"
"2015-N4-40"	"N4"	"eastern Fram Strait"	79.82167	4.25367	40	"bel.chl-max"	"2015-08-04"	"PS93_064-4"	4.2681	34.7909	315.6256	97.8024	"FRAM-316-PS93-2-0064-4-40m_S24_L001_R1_001.fastq.gz"	"FRAM-316-PS93-2-0064-4-40m_S24_L001_R2_001.fastq.gz"	"FRAM-316-PS93-2-0064-4-40m_S24_L001"	"J3FNT"	"762e852c9446f1c9c5545f5d92d1e14f"	"3e8b169ae0d71e18a1162f7155556eb1"
"2015-HG1-10"	"HG1"	"eastern Fram Strait"	79.133	6.101	10	"surface"	"2015-08-10"	"PS93_080-7"	6.0892	34.6307	333.5745	107.8776	"FRAM-320-PS93-2-0080-7-10m_S68_L001_R1_001.fastq.gz"	"FRAM-320-PS93-2-0080-7-10m_S68_L001_R2_001.fastq.gz"	"FRAM-320-PS93-2-0080-7-10m_S68_L001"	"J3FNT"	"3d21b3e29abb3835a2feceb8200e1a00"	"e219ac52318e77e3e4282acd3a7f0469"
"2015-HG1-18"	"HG1"	"eastern Fram Strait"	79.133	6.101	18	"chl-max"	"2015-08-10"	"PS93_080-7"	1.523	34.1638	360.558	103.8422	"FRAM-321-PS93-2-0080-7-18m-chl-max_S78_L001_R1_001.fastq.gz"	"FRAM-321-PS93-2-0080-7-18m-chl-max_S78_L001_R2_001.fastq.gz"	"FRAM-321-PS93-2-0080-7-18m-chl-max_S78_L001"	"J3FNT"	"7656b977d992f55f462636353500ec0b"	"5cc27a7dafe8578baa627e376a7de098"
"2015-HG1-32"	"HG1"	"eastern Fram Strait"	79.133	6.101	32	"bel.chl-max"	"2015-08-10"	"PS93_080-7"	1.1175	34.3619	335.6512	95.787	"FRAM-322-PS93-2-0080-7-32m_S4_L001_R1_001.fastq.gz"	"FRAM-322-PS93-2-0080-7-32m_S4_L001_R2_001.fastq.gz"	"FRAM-322-PS93-2-0080-7-32m_S4_L001"	"J3FNT"	"526fca26a81f49b233a05f23b700f44c"	"ac896d4411731839ce400953177b7a77"
"2015-HG9-15"	"HG9"	"eastern Fram Strait"	79.13367	2.84233	14	"surface"	"2015-08-10"	"PS93_086-2"	5.3203	34.2412	353.3187	111.903	"FRAM-323-PS93-2-0086-2-15m_S15_L001_R1_001.fastq.gz"	"FRAM-323-PS93-2-0086-2-15m_S15_L001_R2_001.fastq.gz"	"FRAM-323-PS93-2-0086-2-15m_S15_L001"	"J3FNT"	"0fc645178087fbb99fc75508ed0321d9"	"61d3bd4b2af3162c85185b57239f97f8"
"2015-HG9-25"	"HG9"	"eastern Fram Strait"	79.13367	2.84233	25	"chl-max"	"2015-08-10"	"PS93_086-2"	5.315	34.6071	335.0125	106.347	"FRAM-324-PS93-2-0086-2-25m-chl-max_S26_L001_R1_001.fastq.gz"	"FRAM-324-PS93-2-0086-2-25m-chl-max_S26_L001_R2_001.fastq.gz"	"FRAM-324-PS93-2-0086-2-25m-chl-max_S26_L001"	"J3FNT"	"15cb2eccdce5e4e5212b611e24cb37f1"	"2ad3829b7e2ec58c121239df68e33527"
"2015-HG9-50"	"HG9"	"eastern Fram Strait"	79.13367	2.84233	50	"bel.chl-max"	"2015-08-10"	"PS93_086-2"	4.7774	34.9161	309.7796	97.2687	"FRAM-325-PS93-2-0086-2-50m_S37_L001_R1_001.fastq.gz"	"FRAM-325-PS93-2-0086-2-50m_S37_L001_R2_001.fastq.gz"	"FRAM-325-PS93-2-0086-2-50m_S37_L001"	"J3FNT"	"9f1953c6fbe98d4c6bfcccf91871ce5b"	"6248e69f04ed2f25dfeee41925685d15"
"2016-S3-10"	"S3"	"eastern Fram Strait"	78.60783	5.04683	10	"surface"	"2016-06-25"	"PS99_041-6"	4.8566	35.1019	NA	NA	"FRAM-420-PS99-2-41-6-sfc-bactV4V5_S51_L001_R1_001.fastq.gz"	"FRAM-420-PS99-2-41-6-sfc-bactV4V5_S51_L001_R2_001.fastq.gz"	"FRAM-420-PS99-2-41-6-sfc-bactV4V5_S51_L001"	"JBL8W"	"e64078e2ddb78f65e18ce02f1f77464d"	"04e2a4f50dbaf26a39c0c83e15a3c321"
"2016-S3-28"	"S3"	"eastern Fram Strait"	78.60783	5.04683	28	"chl-max"	"2016-06-25"	"PS99_041-6"	4.7379	35.1012	346.7045	108.8916	"FRAM-422-PS99-2-41-6-chl-max-bactV4V5_S63_L001_R1_001.fastq.gz"	"FRAM-422-PS99-2-41-6-chl-max-bactV4V5_S63_L001_R2_001.fastq.gz"	"FRAM-422-PS99-2-41-6-chl-max-bactV4V5_S63_L001"	"JBL8W"	"c2277766adc352525d7f45a94fefcee4"	"94f1a2f8730942fa226ee4be5935306b"
"2016-S3-60"	"S3"	"eastern Fram Strait"	78.60783	5.04683	60	"bel.chl-max"	"2016-06-25"	"PS99_041-6"	4.1525	35.0922	340.5414	105.435	"FRAM-424-PS99-2-41-6-bel-chl-max-bactV4V5_S75_L001_R1_001.fastq.gz"	"FRAM-424-PS99-2-41-6-bel-chl-max-bactV4V5_S75_L001_R2_001.fastq.gz"	"FRAM-424-PS99-2-41-6-bel-chl-max-bactV4V5_S75_L001"	"JBL8W"	"4ff4849e8fa5d25c08c153c341581148"	"8dba82d2c9964f5f39fef81a99824388"
"2016-HGV-25"	"HG5"	"eastern Fram Strait"	79.06717	3.66533	25	"chl-max"	"2016-06-28"	"PS99_044-1"	2.0144	34.6052	404.4588	118.3166	"FRAM-435-PS99-2-44-1-chl-max-bactV4V5_S87_L001_R1_001.fastq.gz"	"FRAM-435-PS99-2-44-1-chl-max-bactV4V5_S87_L001_R2_001.fastq.gz"	"FRAM-435-PS99-2-44-1-chl-max-bactV4V5_S87_L001"	"JBL8W"	"4c0df16a73889300988c37626378dc98"	"3add0e0ce98f999d5551921c33795a92"
"2016-HG4-10"	"HG4"	"eastern Fram Strait"	79.065767	4.178133	10	"surface"	"2016-06-27"	"PS99_042-11"	-0.0739	33.2349	394.4193	108.2479	"FRAM-441-PS99-2-43-2-sfc-bactV4V5_S4_L001_R1_001.fastq.gz"	"FRAM-441-PS99-2-43-2-sfc-bactV4V5_S4_L001_R2_001.fastq.gz"	"FRAM-441-PS99-2-43-2-sfc-bactV4V5_S4_L001"	"JBL8W"	"673f2c942330f9ce141ff4487dd8023a"	"29599c66ffaf2af409f35ea8e1cc3a3d"
"2016-HG4-28"	"HG4"	"eastern Fram Strait"	79.065767	4.178133	28	"chl-max"	"2016-06-27"	"PS99_042-11"	-0.5401	34.1967	431.5808	117.7509	"FRAM-443-PS99-2-43-2-chl-max-bactV4V5_S16_L001_R1_001.fastq.gz"	"FRAM-443-PS99-2-43-2-chl-max-bactV4V5_S16_L001_R2_001.fastq.gz"	"FRAM-443-PS99-2-43-2-chl-max-bactV4V5_S16_L001"	"JBL8W"	"a58ab1a0d0f2dab71f4a85e440bd49a4"	"0d12ba67ee173b900426dea349f87c98"
"2016-HG4-60"	"HG4"	"eastern Fram Strait"	79.065767	4.178133	60	"bel.chl-max"	"2016-06-27"	"PS99_042-11"	2.4502	34.8064	339.9117	100.679	"FRAM-444-PS99-2-43-2-bel-chl-max-bactV4V5_S28_L001_R1_001.fastq.gz"	"FRAM-444-PS99-2-43-2-bel-chl-max-bactV4V5_S28_L001_R2_001.fastq.gz"	"FRAM-444-PS99-2-43-2-bel-chl-max-bactV4V5_S28_L001"	"JBL8W"	"f9170a50dceb33eee94459f511a5fafd"	"a55b811b8367d8e42191077e65334970"
"2016-EG4-10"	"EG4"	"western Fram Strait"	78.816	-2.72883	10	"surface"	"2016-06-30"	"PS99_048-11"	-1.1825	33.5443	426.5119	113.8516	"FRAM-463-PS99-2-48-11-sfc-bactV4V5_S40_L001_R1_001.fastq.gz"	"FRAM-463-PS99-2-48-11-sfc-bactV4V5_S40_L001_R2_001.fastq.gz"	"FRAM-463-PS99-2-48-11-sfc-bactV4V5_S40_L001"	"JBL8W"	"aa1ab521e4bf4a275592aa17029164de"	"285670a6dcf180c63801d724105b1b4e"
"2016-EG4-24"	"EG4"	"western Fram Strait"	78.816	-2.72883	24	"chl-max"	"2016-06-30"	"PS99_048-11"	-1.6187	33.9549	429.3076	113.5606	"FRAM-466-PS99-2-48-11-chl-max-bactV4V5_S52_L001_R1_001.fastq.gz"	"FRAM-466-PS99-2-48-11-chl-max-bactV4V5_S52_L001_R2_001.fastq.gz"	"FRAM-466-PS99-2-48-11-chl-max-bactV4V5_S52_L001"	"JBL8W"	"8691e1de785bd3ea9feebdda3f3df6cf"	"82438d345d85e8c91402abf60b4f67af"
"2016-EG4-37"	"EG4"	"western Fram Strait"	78.816	-2.72883	37	"bel.chl-max"	"2016-06-30"	"PS99_048-11"	-1.7482	34.1378	373.7283	98.6322	"FRAM-468-PS99-2-48-11-bel-chl-max-bactV4V5_S64_L001_R1_001.fastq.gz"	"FRAM-468-PS99-2-48-11-bel-chl-max-bactV4V5_S64_L001_R2_001.fastq.gz"	"FRAM-468-PS99-2-48-11-bel-chl-max-bactV4V5_S64_L001"	"JBL8W"	"2493675bcd580e4599276f0ac27e64f7"	"245359a7e6d8eb856fe12e634a15501a"
"2016-EG3-10"	"EG3"	"western Fram Strait"	78.86217	-3.97333	10	"surface"	"2016-07-01"	"PS99_049-1"	-0.9693	32.6082	398.26	106.2415	"FRAM-472-PS99-2-49-1-sfc-bactV4V5_S76_L001_R1_001.fastq.gz"	"FRAM-472-PS99-2-49-1-sfc-bactV4V5_S76_L001_R2_001.fastq.gz"	"FRAM-472-PS99-2-49-1-sfc-bactV4V5_S76_L001"	"JBL8W"	"9f55c621c412709d0ae85b910bf0b0dd"	"4ed9ef082400bc15d8c59abad72f39ca"
"2016-EG3-32"	"EG3"	"western Fram Strait"	78.86217	-3.97333	33	"chl-max"	"2016-07-01"	"PS99_049-1"	-1.5907	33.9224	400.1313	105.9004	"FRAM-474-PS99-2-49-1-chl-max-bactV4V5_S88_L001_R1_001.fastq.gz"	"FRAM-474-PS99-2-49-1-chl-max-bactV4V5_S88_L001_R2_001.fastq.gz"	"FRAM-474-PS99-2-49-1-chl-max-bactV4V5_S88_L001"	"JBL8W"	"852108da59010eac9f7a277905552c31"	"4823a14c543615fb6de6286a562c5dcb"
"2016-EG3-60"	"EG3"	"western Fram Strait"	78.86217	-3.97333	59	"bel.chl-max"	"2016-07-01"	"PS99_049-1"	-1.5792	34.207	359.3254	95.3178	"FRAM-476-PS99-2-49-1-bel-chl-max-bactV4V5_S5_L001_R1_001.fastq.gz"	"FRAM-476-PS99-2-49-1-bel-chl-max-bactV4V5_S5_L001_R2_001.fastq.gz"	"FRAM-476-PS99-2-49-1-bel-chl-max-bactV4V5_S5_L001"	"JBL8W"	"7db8181b9028c59f168acca2879a6eee"	"aaa043c7ac1fea43dcc5bc915849e297"
"2016-EG2-5"	"EG2"	"western Fram Strait"	78.93667	-4.65033	5	"surface"	"2016-07-01"	"PS99_050-1"	-0.4182	32.1644	369.5838	99.7672	"FRAM-481-PS99-2-50-1-sfc-bactV4V5_S17_L001_R1_001.fastq.gz"	"FRAM-481-PS99-2-50-1-sfc-bactV4V5_S17_L001_R2_001.fastq.gz"	"FRAM-481-PS99-2-50-1-sfc-bactV4V5_S17_L001"	"JBL8W"	"02edc7618febd38b53b08bbd3f5aba2f"	"afa97786e234bbc20df050c9765b12e6"
"2016-EG2-18"	"EG2"	"western Fram Strait"	78.93667	-4.65033	18	"chl-max"	"2016-07-01"	"PS99_050-1"	-1.4201	33.7687	441.7142	117.3289	"FRAM-483-PS99-2-50-1-chl-max-bactV4V5_S29_L001_R1_001.fastq.gz"	"FRAM-483-PS99-2-50-1-chl-max-bactV4V5_S29_L001_R2_001.fastq.gz"	"FRAM-483-PS99-2-50-1-chl-max-bactV4V5_S29_L001"	"JBL8W"	"cff6571390355dfa2e341bb158c7b0c6"	"7bf89c82b509b571e654f362d0431278"
"2016-EG2-35"	"EG2"	"western Fram Strait"	78.93667	-4.65033	35	"bel.chl-max"	"2016-07-01"	"PS99_050-1"	-1.6709	34.0079	373.1254	98.594	"FRAM-485-PS99-2-50-1-bel-chl-max-bactV4V5_S41_L001_R1_001.fastq.gz"	"FRAM-485-PS99-2-50-1-bel-chl-max-bactV4V5_S41_L001_R2_001.fastq.gz"	"FRAM-485-PS99-2-50-1-bel-chl-max-bactV4V5_S41_L001"	"JBL8W"	"10d5ffb5e1a6aa44e443966898cc3f8d"	"4fccda2b2f2ef38ee3c99563686a650c"
"2016-EG1-5"	"EG1"	"western Fram Strait"	78.99083	-5.40933	5	"surface"	"2016-07-02"	"PS99_051-2"	-1.2181	32.2079	382.1154	100.9674	"FRAM-490-PS99-2-51-2-sfc-bactV4V5_S53_L001_R1_001.fastq.gz"	"FRAM-490-PS99-2-51-2-sfc-bactV4V5_S53_L001_R2_001.fastq.gz"	"FRAM-490-PS99-2-51-2-sfc-bactV4V5_S53_L001"	"JBL8W"	"59b026ef5a7a0bdaa4399267e81b5fd9"	"7e9153ff5351d70be65d0e85e3e56b25"
"2016-EG1-13"	"EG1"	"western Fram Strait"	78.99083	-5.40933	13	"chl-max"	"2016-07-02"	"PS99_051-2"	-1.5393	33.1437	405.6959	106.9477	"FRAM-492-PS99-2-51-2-chl-max-bactV4V5_S65_L001_R1_001.fastq.gz"	"FRAM-492-PS99-2-51-2-chl-max-bactV4V5_S65_L001_R2_001.fastq.gz"	"FRAM-492-PS99-2-51-2-chl-max-bactV4V5_S65_L001"	"JBL8W"	"fb2249e5d98f3ab68b9e08b609a3fba7"	"6ef6551ccf2c7600f6ce9efd51c71fa6"
"2016-EG1-50"	"EG1"	"western Fram Strait"	78.99083	-5.40933	50	"bel.chl-max"	"2016-07-02"	"PS99_051-2"	-1.5493	33.9577	362.9295	96.187	"FRAM-494-PS99-2-51-2-bel-chl-max-bactV4V5_S77_L001_R1_001.fastq.gz"	"FRAM-494-PS99-2-51-2-bel-chl-max-bactV4V5_S77_L001_R2_001.fastq.gz"	"FRAM-494-PS99-2-51-2-bel-chl-max-bactV4V5_S77_L001"	"JBL8W"	"6bfc9a07f0ace5d70a46a6253ef69c81"	"3ef5d79a8d2f6865660e19f6033acfd5"
"2016-N4-10"	"N4"	"eastern Fram Strait"	79.7415	4.5035	10	"surface"	"2016-07-05"	"PS99_055-1"	2.7351	34.0603	377.7343	112.1279	"FRAM-531-PS99-2-55-1-sfc-bactV4V5_S89_L001_R1_001.fastq.gz"	"FRAM-531-PS99-2-55-1-sfc-bactV4V5_S89_L001_R2_001.fastq.gz"	"FRAM-531-PS99-2-55-1-sfc-bactV4V5_S89_L001"	"JBL8W"	"f29f9bde8c839e88f55f52afba2a66a6"	"5e101121472d181b2f91c5ae034b1499"
"2016-N4-22"	"N4"	"eastern Fram Strait"	79.7415	4.5035	22	"surface"	"2016-07-05"	"PS99_055-1"	1.1452	34.5069	382.763	109.4177	"FRAM-533-PS99-2-55-1-chl-max-bactV4V5_S6_L001_R1_001.fastq.gz"	"FRAM-533-PS99-2-55-1-chl-max-bactV4V5_S6_L001_R2_001.fastq.gz"	"FRAM-533-PS99-2-55-1-chl-max-bactV4V5_S6_L001"	"JBL8W"	"aa655dd69a086244151e6f779a15b959"	"f835e412ad0e5eb1df1f2d1bed9f23b5"
"2016-N4-50"	"N4"	"eastern Fram Strait"	79.7415	4.5035	50	"bel.chl-max"	"2016-07-05"	"PS99_055-1"	2.7077	34.854	327.4114	97.6404	"FRAM-535-PS99-2-55-1-bel-chl-max-bactV4V5_S18_L001_R1_001.fastq.gz"	"FRAM-535-PS99-2-55-1-bel-chl-max-bactV4V5_S18_L001_R2_001.fastq.gz"	"FRAM-535-PS99-2-55-1-bel-chl-max-bactV4V5_S18_L001"	"JBL8W"	"1d0ea917a6516846a5b4c69ce3916750"	"33b23aa406f605dbe66a2d169c7d6dc7"
"2016-HG9-10_1"	"HG9"	"eastern Fram Strait"	79.13483	2.84583	10	"surface"	"2016-07-07"	"PS99_059-2"	-0.5277	32.9448	411.2918	111.2931	"FRAM-551-PS99-2-59-2-sfc-bactV4V5_S30_L001_R1_001.fastq.gz"	"FRAM-551-PS99-2-59-2-sfc-bactV4V5_S30_L001_R2_001.fastq.gz"	"FRAM-551-PS99-2-59-2-sfc-bactV4V5_S30_L001"	"JBL8W"	"99437815d5c62913abafd077b365ae86"	"a816bdda57c5d0fc726f2256def7f9dd"
"2016-HG9-24"	"HG9"	"eastern Fram Strait"	79.13483	2.84583	24	"chl-max"	"2016-07-07"	"PS99_059-2"	-1.329	34.0968	441.6829	117.8795	"FRAM-553-PS99-2-59-2-chl-max-bactV4V5_S42_L001_R1_001.fastq.gz"	"FRAM-553-PS99-2-59-2-chl-max-bactV4V5_S42_L001_R2_001.fastq.gz"	"FRAM-553-PS99-2-59-2-chl-max-bactV4V5_S42_L001"	"JBL8W"	"c64f375df3b7b3c5c33a49d45ac0b5f2"	"9ef9047112778f83923c99b6e8d26e18"
"2016-HG9-45"	"HG9"	"eastern Fram Strait"	79.13483	2.84583	45	"bel.chl-max"	"2016-07-07"	"PS99_059-2"	-0.7458	34.3404	347.9595	94.505	"FRAM-555-PS99-2-59-2-bel-chl-max-bactV4V5_S54_L001_R1_001.fastq.gz"	"FRAM-555-PS99-2-59-2-bel-chl-max-bactV4V5_S54_L001_R2_001.fastq.gz"	"FRAM-555-PS99-2-59-2-bel-chl-max-bactV4V5_S54_L001"	"JBL8W"	"9dd5d7ef6aafdd982dd1492917174b13"	"7b1fbb98a215b6fd1cf22d61d80f78fe"
"2016-HG9-10_2"	"HG9"	"eastern Fram Strait"	79.1235	2.8175	10	"surface"	"2016-07-07"	"PS99_059-6"	-0.1504	32.353	390.4847	106.3064	"FRAM-560-PS99-2-59-6-sfc-bactV4V5_S66_L001_R1_001.fastq.gz"	"FRAM-560-PS99-2-59-6-sfc-bactV4V5_S66_L001_R2_001.fastq.gz"	"FRAM-560-PS99-2-59-6-sfc-bactV4V5_S66_L001"	"JBL8W"	"29906e59b7bce27d64f31a1f61c72ab3"	"360e522ae615fb875d53321f10b6f644"
"2016-HG9-42"	"HG9"	"eastern Fram Strait"	79.1235	2.8175	42	"chl-max"	"2016-07-07"	"PS99_059-6"	1.9245	34.6577	374.8984	109.4562	"FRAM-563-PS99-2-59-6-chl-max-bactV4V5_S78_L001_R1_001.fastq.gz"	"FRAM-563-PS99-2-59-6-chl-max-bactV4V5_S78_L001_R2_001.fastq.gz"	"FRAM-563-PS99-2-59-6-chl-max-bactV4V5_S78_L001"	"JBL8W"	"57e902a033c4e190ad204755789b66f0"	"4a4ba519b8ee570711760618a9119c1b"
"2016-HG9-56"	"HG9"	"eastern Fram Strait"	79.1235	2.8175	56	"bel.chl-max"	"2016-07-07"	"PS99_059-6"	1.7332	34.6951	330.1982	95.958	"FRAM-566-PS99-2-59-6-bel-chl-max-bactV4V5_S90_L001_R1_001.fastq.gz"	"FRAM-566-PS99-2-59-6-bel-chl-max-bactV4V5_S90_L001_R2_001.fastq.gz"	"FRAM-566-PS99-2-59-6-bel-chl-max-bactV4V5_S90_L001"	"JBL8W"	"7c5246bb3345344437732cced7932c12"	"c987432861844bfe74357f1a5126c63c"
"2016-SV4-5"	"SV4"	"eastern Fram Strait"	79.03483	6.974	10	"surface"	"2016-07-08"	"PS99_062-4"	7.3272	35.094	321.6503	107.3967	"FRAM-586-PS99-2-62-4-sfc-bactV4V5_S7_L001_R1_001.fastq.gz"	"FRAM-586-PS99-2-62-4-sfc-bactV4V5_S7_L001_R2_001.fastq.gz"	"FRAM-586-PS99-2-62-4-sfc-bactV4V5_S7_L001"	"JBL8W"	"81601e27edd5982999be8ee4c60eda8c"	"742a1291143d847e3ad79bbd23bdea1e"
"2016-SV4-22"	"SV4"	"eastern Fram Strait"	79.03483	6.974	23	"chl-max"	"2016-07-08"	"PS99_062-4"	6.7835	35.0898	336.4818	NA	"FRAM-588-PS99-2-62-4-chl-max-bactV4V5_S19_L001_R1_001.fastq.gz"	"FRAM-588-PS99-2-62-4-chl-max-bactV4V5_S19_L001_R2_001.fastq.gz"	"FRAM-588-PS99-2-62-4-chl-max-bactV4V5_S19_L001"	"JBL8W"	"6a3747a5c902a186a8e578a51f5b26e0"	"2dd74ac0fac0a44ad35a3d9fd1b8a11f"
"2016-SV4-75"	"SV4"	"eastern Fram Strait"	79.03483	6.974	75	"bel.chl-max"	"2016-07-08"	"PS99_062-4"	5.146	35.1074	317.2378	100.6272	"FRAM-590-PS99-2-62-4-bel-chl-max-bactV4V5_S31_L001_R1_001.fastq.gz"	"FRAM-590-PS99-2-62-4-bel-chl-max-bactV4V5_S31_L001_R2_001.fastq.gz"	"FRAM-590-PS99-2-62-4-bel-chl-max-bactV4V5_S31_L001"	"JBL8W"	"fbe6ab1304b77c26e56510e47482b450"	"df133ce83c90a131ced306010377fdfd"
"2016-SV3-5"	"SV3"	"eastern Fram Strait"	79.00267	8.36283	5	"surface"	"2016-07-09"	"PS99_063-2"	7.0854	35.0928	336.3121	111.665	"FRAM-609-PS99-2-63-2-sfc-bactV4V5_S43_L001_R1_001.fastq.gz"	"FRAM-609-PS99-2-63-2-sfc-bactV4V5_S43_L001_R2_001.fastq.gz"	"FRAM-609-PS99-2-63-2-sfc-bactV4V5_S43_L001"	"JBL8W"	"fa0d59f8b8833384c9e50253e6d4709b"	"fdd28675e17cc77ff5c2d942c1963458"
"2016-SV3-17"	"SV3"	"eastern Fram Strait"	79.00267	8.36283	17	"chl-max"	"2016-07-09"	"PS99_063-2"	6.6439	35.0893	357.7891	117.5785	"FRAM-611-PS99-2-63-2-chl-max-bactV4V5_S55_L001_R1_001.fastq.gz"	"FRAM-611-PS99-2-63-2-chl-max-bactV4V5_S55_L001_R2_001.fastq.gz"	"FRAM-611-PS99-2-63-2-chl-max-bactV4V5_S55_L001"	"JBL8W"	"00ad09e1264f391b0cfd59eeae49805c"	"a1bf68a0f6aa476ea632525acf13e893"
